食材,风味物质及英文名,风味描述
葱属蔬菜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
葱属蔬菜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
葱属蔬菜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
葱属蔬菜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
韭葱,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
韭葱,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
韭葱,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
韭葱,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
韭葱,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
韭葱,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
韭葱,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
韭葱,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
香蕉,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
香蕉,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
香蕉,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
香蕉,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
香蕉,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
香蕉,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
